12100,XXX-Interwand Eibergen  BV,Jukkertweg,6,7151 HS,EIBERGEN,NL
121000,Derks & Zn BV,Breudijk,6,3481LP,HARMELEN,NL
121001,XXX-Wiggers Raalte BV,Postbus,135,8100AC,RAALTE,NL
121002,Schep & Zn BV,Nieuweweg,269,6603 BN,WIJCHEN,NL
121003,Westerveld & Nederlof BV,Terborgseweg,58,7084AE,BREEDENBROEK,NL
121004,Duzoned Konstrukties BV,Mr. P.J.Troelstraweg,183,8919 AB,LEEUWARDEN,NL
121005,JHZ Nederland BV,Noordweg,19,3336LH,ZWIJNDRECHT,NL
121006,Hollandia BV,Schaardijk,23,2921LG,KRIMPEN AAN DEN IJSSEL,NL
121007,Nieuwkoop Metaaltechniek,Biesboschhaven Noord,2,4251 NL,WERKENDAM,NL
121008,Lismont,Av. Henri Zamanlaan,16,B-1480,SAINTES,BE
121009,Technomarkt Amsterdam,Oderweg,1A,1043 AG,AMSTERDAM,NL
12101,XXX-Bruynzeel Intersysteem BV,Postbus,1705,4700BS,ROOSENDAAL,NL
121010,Hessels Industrie BV,Baarschot,50,4817ZZ,BREDA,NL
121011,Stuurhuizen BV,Beatrixhaven,3B,4251NK,WERKENDAM,NL
121012,XXX-Hogazon Geveltechniek,Schouwersweg,5,4451HS,HEINEKENSZAND,NL
121013,Verhoefstraete Metalen NV,Wijnendalestraat,189,B-8800,ROESELARE,BE
121014,Geral NV,Nijverheidsstraat,9,B-2235,HULSHOUT,BE
121015,XXX-Arjolux Montage BV,Het Vergun,7,6931 KC,WESTERVOORT,NL
121016,Erap NV,Oude Liersebaan,264,B-2570,DUFFEL,BE
121017,XXX-Stocklots BV,Postbus,59,5830 AB,BOXMEER,NL
121018,The Saw Centre LTD,Englinton Street,650,G5 9RP,GLASGOW,GB
121019,Euro-Deur,Teddingtonweg,4,2421LL,NIEUWKOOP,NL
12102,Slijperij Zaandam,Langestraat,9,1506 XE,ZAANDAM,NL
121020,Hydro Building Systems NV,Industriezone Roosveld,11,B-3400,LANDEN,BE
121021,Jan van der Heijden Gevelsystemen BV,Zoggelsestraat,17a,5384LL,HEESCH,NL
121022,XXX-Kennemer Kunststofbouw,Nijverheidsweg,25B,2031 CN,HAARLEM,NL
121023,XXX-Alvan bv,Laconiastraat,1,B-8000,BRUGGE,BE
121024,HR Aluminiumbouw BV,Kuilenhurk,26-D,5512CB,VESSEM,NL
121025,Cijfers & Letters Licht CV,Curacoa,22,7331DM,APELDOORN,NL
121026,Parkotech,Boterdijk,186,1424 NM,DE KWAKEL,NL
121027,XXX-AGC Hardmaas BV,Postbus,6025,4000 HA,TIEL,NL
121028,Beerens BV,Beatrixhaven,11,4251NK,WERKENDAM,NL
121029,Roelens NV,Laagstraat,38,B-9140,TEMSE,BE
12103,Neon Elite,Brugsesteenweg,64,B-8740,PITTEM,BE
121030,De Oesterbank VZW,Vaartblekersstraat,15,B-8400,OOSTENDE,BE
121031,XXX-T.S.N.N.,Wetterkant,16,8401 GC,GORREDIJK,NL
121032,Leitz-Service GmbH,Rue de Kleinbettingen,17A,L-8436,STEINFORT,LU
121033,Kaspersma BV,Bocksmeulen,2,9101 RA,DOKKUM,NL
121034,NLW Groep Venray,Smakterweg,19,5804 AE,VENRAY,NL
121035,Hak4t slimme lichtoplossingen BV,Galileistraat,5,7701SK,DEDEMSVAART,NL
121036,Business Unit Systemen,Postbus,314,5800 AH,VENRAY,NL
121037,XXX-Tinga Deuren,Kloosterweg,47,8830AA,WINSUM,NL
121038,Dreja Gevelinrichting BV,Parallelweg,35A,6161SK,GELEEN,NL
121039,Bosman Installatie Techniek,Mr.Jac Takkade,3,1432CA,AALSMEER,NL
12104,Fa. J.H. Kaandorp,Handelsweg,12,1851 NX,HEILO,NL
121040,Timmerbedrijf CA Vermeulen BV,Steinsedijk,15A,2851 LA,HAASTRECHT,NL
121041,Metaalwinkel Rotterdam,Bergen,10,2993LR,Barendrecht,NL
121042,Locinox NV,Brabantstraat,107,B-8790,WAREGEM,BE
121043,XXX-Alratec Ramen en Deuren,Koning Albertstraat,2,B-1760,ROOSDAAL,BE
121044,Alupro BV,Postbus,311,3340AH,HENDRIK IDO AMBACHT,NL
121045,XXX-Tulp Keukens,Ambachtsstraat,2,7461 TP,RIJSSEN,NL
